web-scraper-order,web-scraper-start-url,judul,link,link-href,tanggal,tanggal-href,gambar,gambar-href
"1721993904-1","https://news.detik.com/indeks","Kejagung Tangkap Anggota DPR Ujang Iskandar Terkait Kasus Korupsi","","","","","",""
"1721993904-2","https://news.detik.com/indeks","Baru Mau Jogging, Warga Diminta Keluar Area Monas karena Sudah Jam 4 Sore","","","","","",""
"1721993904-3","https://news.detik.com/indeks","Titik-titik Kemacetan di Tol Saat Jumat Malam Jam Pulang Kerja","","","","","",""
"1721993904-4","https://news.detik.com/indeks","Pemukiman Warga di California Membara Dilalap Kebakaran Hutan","","","","","",""
"1721993904-5","https://news.detik.com/indeks","PAN Anggap Menarik Pileg-Pilpres Dipisah: Caleg Kredibel Tidak Tenggelam","","","","","",""
"1721993904-6","https://news.detik.com/indeks","Kepala BP2MI Sebut Pengendali Judi Online Inisial T, Ini Reaksi Jokowi","","","","","",""
"1721993904-7","https://news.detik.com/indeks","Israel Peringatkan Prancis Soal Ancaman Iran Saat Olimpiade","","","","","",""
"1721993904-8","https://news.detik.com/indeks","Jembatan Miring yang Bikin Warga Sukabumi Bergelantungan Segera Diperbaiki","","","","","",""
"1721993904-9","https://news.detik.com/indeks","Ledakan Semalaman Saat Pabrik Kembang Api di Bulgaria Terbakar, 1 Orang Tewas","","","","","",""
"1721993904-10","https://news.detik.com/indeks","Warga Harap JPO Dewi Sartika Jaktim Cepat Tuntas: Susah Nyeberang di Sini","","","","","",""
"1721993904-11","https://news.detik.com/indeks","Dunia Hari Ini: Semburan di Yellowstone, Turis Tunggang-langgang Selamatkan Diri","","","","","",""
"1721993904-12","https://news.detik.com/indeks","Warga Minta Kawasan Monas Dibuka Sampai Malam","","","","","",""
"1721993904-13","https://news.detik.com/indeks","ASN Bogor Diperas Pegawai KPK Gadungan Ditakut-takuti 'Surat Panggilan'","","","","","",""
"1721993904-14","https://news.detik.com/indeks","Kisah Kesetaraan di Bangku Gereja","","","","","",""
"1721993904-15","https://news.detik.com/indeks","Sri Lanka Akan Gelar Pemilu di Tengah Krisis Reformasi Ekonomi","","","","","",""
"1721993904-16","https://news.detik.com/indeks","Mendagri Dorong Lulusan IPDN Jadi Pemimpin dan Bawahan yang Baik","","","","","",""
"1721993904-17","https://news.detik.com/indeks","Pemkot Semarang Terima Bantuan Rp 3,1 Triliun untuk Pembangunan SPALD-T","","","","","",""
"1721993904-18","https://news.detik.com/indeks","Twibbon, Spanduk, Umbul-umbul Hari Hepatitis Sedunia 2024 Resmi Kemenkes RI","","","","","",""
"1721993904-19","https://news.detik.com/indeks","Sindikat 'Mutilasi Bajaj' Didalangi 2 Sopir Bajaj, Sudah 18 Bulan Mencuri","","","","","",""
"1721993904-20","https://news.detik.com/indeks","Ini yang Didalami KPK Saat Periksa Menteri Kelautan dan Perikanan Trenggono","","","","","",""
"1721993904-21","https://news.detik.com/indeks","","Kejagung Tangkap Anggota DPR Ujang Iskandar Terkait Kasus Korupsi","https://news.detik.com/berita/d-7459072/kejagung-tangkap-anggota-dpr-ujang-iskandar-terkait-kasus-korupsi","","","",""
"1721993904-22","https://news.detik.com/indeks","","Baru Mau Jogging, Warga Diminta Keluar Area Monas karena Sudah Jam 4 Sore","https://news.detik.com/berita/d-7459069/baru-mau-jogging-warga-diminta-keluar-area-monas-karena-sudah-jam-4-sore","","","",""
"1721993904-23","https://news.detik.com/indeks","","Titik-titik Kemacetan di Tol Saat Jumat Malam Jam Pulang Kerja","https://news.detik.com/berita/d-7459065/titik-titik-kemacetan-di-tol-saat-jumat-malam-jam-pulang-kerja","","","",""
"1721993904-24","https://news.detik.com/indeks","","Pemukiman Warga di California Membara Dilalap Kebakaran Hutan","https://news.detik.com/foto-news/d-7458508/pemukiman-warga-di-california-membara-dilalap-kebakaran-hutan","","","",""
"1721993904-25","https://news.detik.com/indeks","","PAN Anggap Menarik Pileg-Pilpres Dipisah: Caleg Kredibel Tidak Tenggelam","https://news.detik.com/pemilu/d-7459053/pan-anggap-menarik-pileg-pilpres-dipisah-caleg-kredibel-tidak-tenggelam","","","",""
