web-scraper-order,web-scraper-start-url,link gambar,link gambar-href,judul,tanggal
"1721994286-1","https://news.detik.com/indeks","Mendagri Dorong Lulusan IPDN Jadi Pemimpin dan Bawahan yang Baik","https://news.detik.com/berita/d-7459016/mendagri-dorong-lulusan-ipdn-jadi-pemimpin-dan-bawahan-yang-baik","Mendagri Dorong Lulusan IPDN Jadi Pemimpin dan Bawahan yang Baik","Jumat, 26 Jul 2024 18:10 WIB"
"1721994294-2","https://news.detik.com/indeks","Sri Lanka Akan Gelar Pemilu di Tengah Krisis Reformasi Ekonomi","https://news.detik.com/dw/d-7459021/sri-lanka-akan-gelar-pemilu-di-tengah-krisis-reformasi-ekonomi","Sri Lanka Akan Gelar Pemilu di Tengah Krisis Reformasi Ekonomi","Jumat, 26 Jul 2024 18:13 WIB"
"1721994297-3","https://news.detik.com/indeks","Kisah Kesetaraan di Bangku Gereja","https://news.detik.com/x/detail/intermeso/20240726/Kisah-Kesetaraan-di-Bangku-Gereja/","Kisah Kesetaraan di Bangku Gereja",""
"1721994300-4","https://news.detik.com/indeks","ASN Bogor Diperas Pegawai KPK Gadungan Ditakut-takuti 'Surat Panggilan'","https://news.detik.com/berita/d-7459030/asn-bogor-diperas-pegawai-kpk-gadungan-ditakut-takuti-surat-panggilan","ASN Bogor Diperas Pegawai KPK Gadungan Ditakut-takuti 'Surat Panggilan'","Jumat, 26 Jul 2024 18:16 WIB"
"1721994302-5","https://news.detik.com/indeks","Warga Minta Kawasan Monas Dibuka Sampai Malam","https://news.detik.com/berita/d-7459036/warga-minta-kawasan-monas-dibuka-sampai-malam","Warga Minta Kawasan Monas Dibuka Sampai Malam","Jumat, 26 Jul 2024 18:18 WIB"
"1721994304-6","https://news.detik.com/indeks","Dunia Hari Ini: Semburan di Yellowstone, Turis Tunggang-langgang Selamatkan Diri","https://news.detik.com/abc-australia/d-7459038/dunia-hari-ini-semburan-di-yellowstone-turis-tunggang-langgang-selamatkan-diri","Dunia Hari Ini: Semburan di Yellowstone, Turis Tunggang-langgang Selamatkan Diri","Jumat, 26 Jul 2024 18:19 WIB"
"1721994307-7","https://news.detik.com/indeks","Warga Harap JPO Dewi Sartika Jaktim Cepat Tuntas: Susah Nyeberang di Sini","https://news.detik.com/berita/d-7459042/warga-harap-jpo-dewi-sartika-jaktim-cepat-tuntas-susah-nyeberang-di-sini","Warga Harap JPO Dewi Sartika Jaktim Cepat Tuntas: Susah Nyeberang di Sini","Jumat, 26 Jul 2024 18:20 WIB"
"1721994319-8","https://news.detik.com/indeks","Ledakan Semalaman Saat Pabrik Kembang Api di Bulgaria Terbakar, 1 Orang Tewas","https://20.detik.com/detikupdate/20240726-240726105/ledakan-semalaman-saat-pabrik-kembang-api-di-bulgaria-terbakar-1-orang-tewas","Ledakan Semalaman Saat Pabrik Kembang Api di Bulgaria Terbakar, 1 Orang Tewas","251 Views  |  Jumat, 26 Jul 2024 17:58 WIB"
"1721994322-9","https://news.detik.com/indeks","Jembatan Miring yang Bikin Warga Sukabumi Bergelantungan Segera Diperbaiki","https://news.detik.com/berita/d-7459045/jembatan-miring-yang-bikin-warga-sukabumi-bergelantungan-segera-diperbaiki","Jembatan Miring yang Bikin Warga Sukabumi Bergelantungan Segera Diperbaiki","Jumat, 26 Jul 2024 18:22 WIB"
"1721994325-10","https://news.detik.com/indeks","Israel Peringatkan Prancis Soal Ancaman Iran Saat Olimpiade","https://news.detik.com/internasional/d-7459047/israel-peringatkan-prancis-soal-ancaman-iran-saat-olimpiade","Israel Peringatkan Prancis Soal Ancaman Iran Saat Olimpiade","Jumat, 26 Jul 2024 18:23 WIB"
